condition,scenario,repetition,method,window_end,kappa_decline,sigma_growth,converged
baseline,noise_growth,25,Latent Neural SDE (VI),46.0,-1.1036206483840942,0.016005598229386575,True
baseline,noise_growth,25,Latent Neural SDE (VI),54.0,-0.49028027057647705,0.024953585442044346,True
baseline,noise_growth,25,Latent Neural SDE (VI),62.0,-0.27079319953918457,0.029532427169258302,True
baseline,noise_growth,25,Latent Neural SDE (VI),70.0,0.33482062816619873,0.05576853120553954,True
baseline,noise_growth,25,Latent Neural SDE (VI),78.0,0.0666201114654541,0.12410556677094642,True
baseline,noise_growth,25,Moment OU,30.0,0.184025561963569,0.013697616161466919,True
baseline,noise_growth,25,Moment OU,38.0,0.32667063957020503,-0.007732174991513879,True
baseline,noise_growth,25,Moment OU,46.0,-0.8765361132395779,0.07094679168848833,True
baseline,noise_growth,25,Moment OU,54.0,-1.1802339602119574,0.10743771204970248,True
baseline,noise_growth,25,Moment OU,62.0,0.11896644081369256,0.12502228320022796,True
baseline,noise_growth,25,Moment OU,70.0,0.5113609599800547,0.1386919390162098,True
baseline,noise_growth,25,Moment OU,78.0,-0.0622282305620927,0.1946653655149912,True
baseline,noise_growth,25,Neural SDE (Euler),30.0,0.016228437423706055,-0.035340783202555376,True
baseline,noise_growth,25,Neural SDE (Euler),38.0,0.37108415365219116,-0.040772327292379895,True
baseline,noise_growth,25,Neural SDE (Euler),46.0,-0.9383440017700195,0.020431548976687197,True
baseline,noise_growth,25,Neural SDE (Euler),54.0,-0.5428123474121094,0.021016143179399094,True
baseline,noise_growth,25,Neural SDE (Euler),62.0,-0.33390140533447266,0.009986273463806261,True
baseline,noise_growth,25,Neural SDE (Euler),70.0,0.32881391048431396,0.07263451471429039,True
baseline,noise_growth,25,Neural SDE (Euler),78.0,0.11838269233703613,0.12332315383355513,True
baseline,noise_growth,25,SINDy-STLSQ,30.0,0.13022300363441297,0.005971334793125477,True
baseline,noise_growth,25,SINDy-STLSQ,38.0,0.1473864391523998,0.00045577591982212673,True
baseline,noise_growth,25,SINDy-STLSQ,46.0,0.17455259924887323,0.040335178227323076,True
baseline,noise_growth,25,SINDy-STLSQ,54.0,-0.3199831999362688,0.05917380149268697,True
baseline,noise_growth,25,SINDy-STLSQ,62.0,-0.06571291668011847,0.10015803360084141,True
baseline,noise_growth,25,SINDy-STLSQ,70.0,-0.5116745765741046,0.1295284508761051,True
