condition,system,scenario,repetition,method,window_end,kappa_decline,sigma_growth,converged
baseline,saddle_node,stability_loss,24,SINDy-STLSQ,54.0,-0.6420547578937299,0.011343573032650503,True
baseline,saddle_node,stability_loss,24,SINDy-STLSQ,70.0,-0.2553600754915544,0.002206286589446882,True
baseline,saddle_node,stability_loss,24,SINDy-STLSQ,78.0,1.1916617422304459,0.004408069191738431,True
baseline,saddle_node,stability_loss,25,Bayesian SINDy (spike-slab),38.0,3.1107926272918656,0.01579850098317319,True
baseline,saddle_node,stability_loss,25,Bayesian SINDy (spike-slab),54.0,2.7036439108894035,0.004499570087829238,True
baseline,saddle_node,stability_loss,25,Bayesian SINDy (spike-slab),70.0,0.5715172184467483,0.008281531439957815,True
baseline,saddle_node,stability_loss,25,Bayesian SINDy (spike-slab),78.0,0.11160285282733362,0.007439194371179514,True
baseline,saddle_node,stability_loss,25,Kalman OU,38.0,1.3198198461077004,0.0014382943124279478,True
baseline,saddle_node,stability_loss,25,Kalman OU,54.0,0.9608800797349841,0.010047380621797442,True
baseline,saddle_node,stability_loss,25,Kalman OU,70.0,-1.5703922835146373,0.03883970037678766,True
baseline,saddle_node,stability_loss,25,Kalman OU,78.0,0.008233405839266794,0.000942707848308532,True
baseline,saddle_node,stability_loss,25,Latent Neural SDE (VI),38.0,3.893555521965027,0.012766122205750213,True
baseline,saddle_node,stability_loss,25,Latent Neural SDE (VI),54.0,3.764556407928467,0.004880325641238997,True
baseline,saddle_node,stability_loss,25,Latent Neural SDE (VI),70.0,1.3118557929992676,0.013974821948615948,True
baseline,saddle_node,stability_loss,25,Latent Neural SDE (VI),78.0,-0.4835796356201172,0.008240427858639113,True
baseline,saddle_node,stability_loss,25,Moment OU,38.0,0.8589924380183239,0.013991984152895036,True
baseline,saddle_node,stability_loss,25,Moment OU,54.0,,,False
baseline,saddle_node,stability_loss,25,Moment OU,70.0,-0.60131938299563,0.021416889331044714,True
baseline,saddle_node,stability_loss,25,Moment OU,78.0,-2.0679298390407297,0.03184496415527782,True
baseline,saddle_node,stability_loss,25,Neural SDE (Euler),38.0,3.8430769443511963,0.017066394623066486,True
baseline,saddle_node,stability_loss,25,Neural SDE (Euler),54.0,3.683038353919983,0.006569767164517806,True
baseline,saddle_node,stability_loss,25,Neural SDE (Euler),70.0,1.4117648601531982,0.014231779729066169,True
baseline,saddle_node,stability_loss,25,Neural SDE (Euler),78.0,-0.6307835578918457,0.008451379739890158,True
baseline,saddle_node,stability_loss,25,SINDy-STLSQ,38.0,2.575183677974021,0.013330095183988186,True
baseline,saddle_node,stability_loss,25,SINDy-STLSQ,54.0,3.3762580932802546,0.0034635021963679707,True
baseline,saddle_node,stability_loss,25,SINDy-STLSQ,70.0,0.03713627588702506,0.008156554215101197,True
baseline,saddle_node,stability_loss,25,SINDy-STLSQ,78.0,-0.8295150024014788,0.006855405293780592,True
baseline,saddle_node,stability_loss,26,Bayesian SINDy (spike-slab),38.0,1.10220210480581,-0.01925037961572111,True
baseline,saddle_node,stability_loss,26,Bayesian SINDy (spike-slab),54.0,0.9885555861200062,-0.020427163433212353,True
baseline,saddle_node,stability_loss,26,Bayesian SINDy (spike-slab),70.0,1.5425553957100742,-0.011166996330017387,True
baseline,saddle_node,stability_loss,26,Bayesian SINDy (spike-slab),78.0,0.22548559397220513,-0.01292547211379233,True
baseline,saddle_node,stability_loss,26,Kalman OU,38.0,0.12546817125086707,-0.004668775279663237,True
baseline,saddle_node,stability_loss,26,Kalman OU,54.0,0.17228273045485537,-0.011412898403800976,True
baseline,saddle_node,stability_loss,26,Kalman OU,70.0,0.33726675660225675,-0.008067261235020662,True
baseline,saddle_node,stability_loss,26,Kalman OU,78.0,0.22747614791140353,-0.016574386493787684,True
baseline,saddle_node,stability_loss,26,Latent Neural SDE (VI),38.0,1.2545557022094727,-0.032065882263414225,True
baseline,saddle_node,stability_loss,26,Latent Neural SDE (VI),54.0,1.0251494646072388,-0.026277224981319805,True
baseline,saddle_node,stability_loss,26,Latent Neural SDE (VI),70.0,1.4542871713638306,-0.020233350059817398,True
baseline,saddle_node,stability_loss,26,Latent Neural SDE (VI),78.0,0.4430825710296631,-0.025203251261458046,True
baseline,saddle_node,stability_loss,26,Moment OU,38.0,,,False
baseline,saddle_node,stability_loss,26,Moment OU,54.0,,,False
baseline,saddle_node,stability_loss,26,Moment OU,70.0,1.669012005094931,-0.053438443384048386,True
baseline,saddle_node,stability_loss,26,Moment OU,78.0,1.2412315638811222,-0.04479606731982632,True
baseline,saddle_node,stability_loss,26,Neural SDE (Euler),38.0,1.2935165166854858,-0.031626997823075195,True
baseline,saddle_node,stability_loss,26,Neural SDE (Euler),54.0,1.0224385261535645,-0.025406150739335095,True
baseline,saddle_node,stability_loss,26,Neural SDE (Euler),70.0,1.4584875106811523,-0.01707476635583874,True
baseline,saddle_node,stability_loss,26,Neural SDE (Euler),78.0,0.5798561573028564,-0.02560680455761223,True
baseline,saddle_node,stability_loss,26,SINDy-STLSQ,38.0,1.774524043095218,-0.02034175393053736,True
baseline,saddle_node,stability_loss,26,SINDy-STLSQ,54.0,0.8766706030841864,-0.021152940455256286,True
baseline,saddle_node,stability_loss,26,SINDy-STLSQ,70.0,0.7220782339742629,-0.01331573539243737,True
baseline,saddle_node,stability_loss,26,SINDy-STLSQ,78.0,0.9259012688839465,-0.014711453336753819,True
baseline,saddle_node,stability_loss,27,Bayesian SINDy (spike-slab),38.0,0.5090002157884839,0.010970166394229292,True
baseline,saddle_node,stability_loss,27,Bayesian SINDy (spike-slab),54.0,1.9990304510296413,0.008777441877550002,True
baseline,saddle_node,stability_loss,27,Bayesian SINDy (spike-slab),70.0,1.3085470114939137,0.014978754964183216,True
baseline,saddle_node,stability_loss,27,Bayesian SINDy (spike-slab),78.0,3.4707972903926088,0.016059303424123386,True
baseline,saddle_node,stability_loss,27,Kalman OU,38.0,-0.33348132240248374,0.015954968240200124,True
baseline,saddle_node,stability_loss,27,Kalman OU,54.0,0.06589198933795994,0.013968575480931642,True
baseline,saddle_node,stability_loss,27,Kalman OU,70.0,-0.02098911497224687,0.00919788599014974,True
baseline,saddle_node,stability_loss,27,Kalman OU,78.0,0.07079944781144697,0.02682570519724594,True
baseline,saddle_node,stability_loss,27,Latent Neural SDE (VI),38.0,0.9012041091918945,0.007900471211234189,True
baseline,saddle_node,stability_loss,27,Latent Neural SDE (VI),54.0,3.002360224723816,0.00735777521064758,True
baseline,saddle_node,stability_loss,27,Latent Neural SDE (VI),70.0,2.1429197788238525,0.011768686167119638,True
baseline,saddle_node,stability_loss,27,Latent Neural SDE (VI),78.0,3.9838494062423706,0.03929492410610294,True
baseline,saddle_node,stability_loss,27,Moment OU,38.0,-0.4570588886527327,0.027354907569215665,True
baseline,saddle_node,stability_loss,27,Moment OU,54.0,1.139602366766,0.0034564570728231186,True
baseline,saddle_node,stability_loss,27,Moment OU,70.0,-0.25423528961497666,0.033707277699061115,True
baseline,saddle_node,stability_loss,27,Moment OU,78.0,1.3128191846986774,0.01630700122470049,True
baseline,saddle_node,stability_loss,27,Neural SDE (Euler),38.0,1.1208624839782715,0.008243225411218885,True
baseline,saddle_node,stability_loss,27,Neural SDE (Euler),54.0,3.005008101463318,0.008319623894959438,True
baseline,saddle_node,stability_loss,27,Neural SDE (Euler),70.0,2.228896141052246,0.012980756681827382,True
baseline,saddle_node,stability_loss,27,Neural SDE (Euler),78.0,3.965380847454071,0.05113489911020849,True
baseline,saddle_node,stability_loss,27,SINDy-STLSQ,38.0,1.1074379671377654,0.012284501453100824,True
baseline,saddle_node,stability_loss,27,SINDy-STLSQ,54.0,2.5886319138093556,0.010270518575482127,True
baseline,saddle_node,stability_loss,27,SINDy-STLSQ,70.0,1.913639694552662,0.011880259581107055,True
baseline,saddle_node,stability_loss,27,SINDy-STLSQ,78.0,3.3339816412592054,0.015478190943488193,True
baseline,saddle_node,stability_loss,28,Bayesian SINDy (spike-slab),38.0,1.660408530919722,-0.009376022380555335,True
baseline,saddle_node,stability_loss,28,Bayesian SINDy (spike-slab),54.0,1.1497347058924654,-0.005433849517624878,True
baseline,saddle_node,stability_loss,28,Bayesian SINDy (spike-slab),70.0,2.2090003525796016,0.007465633742401667,True
baseline,saddle_node,stability_loss,28,Bayesian SINDy (spike-slab),78.0,1.5367388633151733,-0.00542667742152915,True
baseline,saddle_node,stability_loss,28,Kalman OU,38.0,0.3187288198989854,-0.0015072119717768999,True
baseline,saddle_node,stability_loss,28,Kalman OU,54.0,-0.5630924957430415,0.028773327514621836,True
baseline,saddle_node,stability_loss,28,Kalman OU,70.0,0.33445371097501614,0.0068519488839891875,True
baseline,saddle_node,stability_loss,28,Kalman OU,78.0,0.13502992278248427,0.002111191583220099,True
baseline,saddle_node,stability_loss,28,Latent Neural SDE (VI),38.0,2.08847713470459,-0.006094485918510598,True
baseline,saddle_node,stability_loss,28,Latent Neural SDE (VI),54.0,0.3722834587097168,-0.015149076856475471,True
baseline,saddle_node,stability_loss,28,Latent Neural SDE (VI),70.0,2.2299983501434326,0.01758388076843033,True
baseline,saddle_node,stability_loss,28,Latent Neural SDE (VI),78.0,1.7322334051132202,-0.003539639469414421,True
baseline,saddle_node,stability_loss,28,Moment OU,38.0,,,False
baseline,saddle_node,stability_loss,28,Moment OU,54.0,1.691725498528211,-0.04759547939359492,True
baseline,saddle_node,stability_loss,28,Moment OU,70.0,1.466393077560829,-0.01314153656883705,True
baseline,saddle_node,stability_loss,28,Moment OU,78.0,1.61974451305473,-0.040336973036240995,True
baseline,saddle_node,stability_loss,28,Neural SDE (Euler),38.0,1.9533121585845947,-0.006590866813357049,True
baseline,saddle_node,stability_loss,28,Neural SDE (Euler),54.0,0.3772587776184082,-0.01404728721935268,True
baseline,saddle_node,stability_loss,28,Neural SDE (Euler),70.0,2.082463026046753,0.02056325040490585,True
baseline,saddle_node,stability_loss,28,Neural SDE (Euler),78.0,1.5665465593338013,-0.0031113554455460407,True
baseline,saddle_node,stability_loss,28,SINDy-STLSQ,38.0,1.0034188679645677,-0.009239839210039485,True
baseline,saddle_node,stability_loss,28,SINDy-STLSQ,54.0,0.8755909459423088,-0.005247609391727873,True
baseline,saddle_node,stability_loss,28,SINDy-STLSQ,70.0,0.8130918822967734,0.005239128856502129,True
baseline,saddle_node,stability_loss,28,SINDy-STLSQ,78.0,1.4136806888244404,-0.005663380697166334,True
baseline,saddle_node,stability_loss,29,Bayesian SINDy (spike-slab),38.0,-0.12562571328887007,0.0006754562185637136,True
baseline,saddle_node,stability_loss,29,Bayesian SINDy (spike-slab),54.0,0.9982955171842907,0.0035037787915495194,True
baseline,saddle_node,stability_loss,29,Bayesian SINDy (spike-slab),70.0,1.4391930713792105,0.00778392122470678,True
baseline,saddle_node,stability_loss,29,Bayesian SINDy (spike-slab),78.0,0.54376691482071,0.0027456828985239073,True
baseline,saddle_node,stability_loss,29,Kalman OU,38.0,-0.8367098825442105,0.019360056542744194,True
baseline,saddle_node,stability_loss,29,Kalman OU,54.0,0.14672158200339258,0.008004106918138982,True
baseline,saddle_node,stability_loss,29,Kalman OU,70.0,0.3429793061598081,-0.00548368842918974,True
baseline,saddle_node,stability_loss,29,Kalman OU,78.0,0.11858970778226707,0.0008702416496452516,True
baseline,saddle_node,stability_loss,29,Latent Neural SDE (VI),38.0,-0.6656520366668701,0.00212860945552705,True
baseline,saddle_node,stability_loss,29,Latent Neural SDE (VI),54.0,1.1108839511871338,0.004570926364288672,True
baseline,saddle_node,stability_loss,29,Latent Neural SDE (VI),70.0,1.3425450325012207,0.010814244926495326,True
baseline,saddle_node,stability_loss,29,Latent Neural SDE (VI),78.0,-0.3511490821838379,0.003287994699961022,True
baseline,saddle_node,stability_loss,29,Moment OU,38.0,-0.9384885425005592,0.020709602925118694,True
baseline,saddle_node,stability_loss,29,Moment OU,54.0,-0.29871922838756515,0.022081223315238662,True
baseline,saddle_node,stability_loss,29,Moment OU,70.0,-0.15270974102068155,0.018459406499031324,True
baseline,saddle_node,stability_loss,29,Moment OU,78.0,-0.05238038310029361,0.006293590462158081,True
baseline,saddle_node,stability_loss,29,Neural SDE (Euler),38.0,-0.5427651405334473,0.001799803505333153,True
baseline,saddle_node,stability_loss,29,Neural SDE (Euler),54.0,1.0393366813659668,0.00432679974679008,True
baseline,saddle_node,stability_loss,29,Neural SDE (Euler),70.0,1.3412132263183594,0.01624556156734773,True
baseline,saddle_node,stability_loss,29,Neural SDE (Euler),78.0,-0.33366966247558594,0.003990096837173829,True
baseline,saddle_node,stability_loss,29,SINDy-STLSQ,38.0,-0.06496328195986534,0.00010655896845432333,True
baseline,saddle_node,stability_loss,29,SINDy-STLSQ,54.0,1.1153653862026347,0.0035049136961643745,True
baseline,saddle_node,stability_loss,29,SINDy-STLSQ,70.0,1.3477066332668641,0.007287392274062249,True
baseline,saddle_node,stability_loss,29,SINDy-STLSQ,78.0,0.00493544038221394,0.0027593080916971657,True
baseline,saddle_node,stationary,0,Bayesian SINDy (spike-slab),38.0,0.1758554247309183,-0.005695887531608296,True
baseline,saddle_node,stationary,0,Bayesian SINDy (spike-slab),54.0,0.48714179440283667,0.007130949837752226,True
baseline,saddle_node,stationary,0,Bayesian SINDy (spike-slab),70.0,0.13131227209182672,-0.008161458893242768,True
baseline,saddle_node,stationary,0,Bayesian SINDy (spike-slab),78.0,0.5694412686262647,0.0029109535455063285,True
baseline,saddle_node,stationary,0,Kalman OU,38.0,0.19751377480507415,-0.006074620056300373,True
baseline,saddle_node,stationary,0,Kalman OU,54.0,-0.749798450973459,0.015860021344953863,True
baseline,saddle_node,stationary,0,Kalman OU,70.0,-1.9749411020659247,0.012301321388531693,True
baseline,saddle_node,stationary,0,Kalman OU,78.0,0.7727852766221426,-0.014567793685711402,True
baseline,saddle_node,stationary,0,Latent Neural SDE (VI),38.0,1.3838615417480469,0.005930695295600766,True
baseline,saddle_node,stationary,0,Latent Neural SDE (VI),54.0,1.7562460899353027,0.028211064432379376,True
baseline,saddle_node,stationary,0,Latent Neural SDE (VI),70.0,2.3459067344665527,0.0073478086824975974,True
baseline,saddle_node,stationary,0,Latent Neural SDE (VI),78.0,2.0391077995300293,0.013479833301590374,True
baseline,saddle_node,stationary,0,Moment OU,38.0,1.6768477555320611,-0.027030123788338564,True
baseline,saddle_node,stationary,0,Moment OU,54.0,-1.0395400654734184,0.026308130241207386,True
baseline,saddle_node,stationary,0,Moment OU,70.0,,,False
baseline,saddle_node,stationary,0,Moment OU,78.0,0.5833925201180694,-0.0004486563126842938,True
baseline,saddle_node,stationary,0,Neural SDE (Euler),38.0,1.8190679550170898,0.00881841796456033,True
baseline,saddle_node,stationary,0,Neural SDE (Euler),54.0,2.079909324645996,0.03163903015508118,True
baseline,saddle_node,stationary,0,Neural SDE (Euler),70.0,2.618159294128418,0.01126063595744746,True
baseline,saddle_node,stationary,0,Neural SDE (Euler),78.0,2.3836183547973633,0.01690105078699765,True
baseline,saddle_node,stationary,0,SINDy-STLSQ,38.0,1.2471933725220774,-0.004661260525172517,True
baseline,saddle_node,stationary,0,SINDy-STLSQ,54.0,0.7760576737568394,0.00875354598468843,True
baseline,saddle_node,stationary,0,SINDy-STLSQ,70.0,1.889757500320207,-0.006545483163484939,True
baseline,saddle_node,stationary,0,SINDy-STLSQ,78.0,0.5696396497164775,0.0036916639876299756,True
baseline,saddle_node,stationary,1,Bayesian SINDy (spike-slab),38.0,0.3780034517273929,-0.005275706576392203,True
baseline,saddle_node,stationary,1,Bayesian SINDy (spike-slab),54.0,0.7771962381769786,-0.008747571675633448,True
baseline,saddle_node,stationary,1,Bayesian SINDy (spike-slab),70.0,0.9925172872877637,-0.0010686037010340377,True
baseline,saddle_node,stationary,1,Bayesian SINDy (spike-slab),78.0,0.8460549015998899,-0.00669574777802015,True
baseline,saddle_node,stationary,1,Kalman OU,38.0,-0.5821778990952835,0.011397912569950944,True
baseline,saddle_node,stationary,1,Kalman OU,54.0,-0.006205288241815543,0.004933440780035173,True
baseline,saddle_node,stationary,1,Kalman OU,70.0,0.4436583560992762,0.0053516261643723195,True
baseline,saddle_node,stationary,1,Kalman OU,78.0,-1.5192541022702024,0.04198218447612248,True
baseline,saddle_node,stationary,1,Latent Neural SDE (VI),38.0,0.6965434551239014,-0.007595753350967099,True
baseline,saddle_node,stationary,1,Latent Neural SDE (VI),54.0,1.345463752746582,-0.01207532968382323,True
baseline,saddle_node,stationary,1,Latent Neural SDE (VI),70.0,1.427959680557251,-0.008546817653843367,True
baseline,saddle_node,stationary,1,Latent Neural SDE (VI),78.0,1.3148431777954102,-0.0139423797826808,True
baseline,saddle_node,stationary,1,Moment OU,38.0,,,False
baseline,saddle_node,stationary,1,Moment OU,54.0,,,False
baseline,saddle_node,stationary,1,Moment OU,70.0,,,False
baseline,saddle_node,stationary,1,Moment OU,78.0,,,False
baseline,saddle_node,stationary,1,Neural SDE (Euler),38.0,0.6466634273529053,-0.0076434047890658885,True
baseline,saddle_node,stationary,1,Neural SDE (Euler),54.0,1.3630948066711426,-0.011578817477201839,True
baseline,saddle_node,stationary,1,Neural SDE (Euler),70.0,1.3592703342437744,-0.008345661477784747,True
baseline,saddle_node,stationary,1,Neural SDE (Euler),78.0,1.4060912132263184,-0.015048311665799882,True
baseline,saddle_node,stationary,1,SINDy-STLSQ,38.0,0.44230027886790646,-0.006088280770881707,True
baseline,saddle_node,stationary,1,SINDy-STLSQ,54.0,1.3025559428658133,-0.00967177654245352,True
baseline,saddle_node,stationary,1,SINDy-STLSQ,70.0,0.2595114808217498,-0.0030962925054262708,True
baseline,saddle_node,stationary,1,SINDy-STLSQ,78.0,0.6629323060269647,-0.009844624731191937,True
baseline,saddle_node,stationary,2,Bayesian SINDy (spike-slab),38.0,-2.031897614140224,-0.004416127926963567,True
baseline,saddle_node,stationary,2,Bayesian SINDy (spike-slab),54.0,0.3822590643844952,0.00564240173531258,True
baseline,saddle_node,stationary,2,Bayesian SINDy (spike-slab),70.0,-0.9557315450457464,0.006709422193758974,True
baseline,saddle_node,stationary,2,Bayesian SINDy (spike-slab),78.0,-0.8354100237514399,-0.0012972862939659574,True
baseline,saddle_node,stationary,2,Kalman OU,38.0,0.8873642811149861,-0.038446759935830035,True
baseline,saddle_node,stationary,2,Kalman OU,54.0,0.9568721198116352,-0.022669430285875578,True
baseline,saddle_node,stationary,2,Kalman OU,70.0,0.28872054918099455,-0.018740643411248675,True
baseline,saddle_node,stationary,2,Kalman OU,78.0,0.9029300432660011,-0.03129497403998965,True
baseline,saddle_node,stationary,2,Latent Neural SDE (VI),38.0,-0.38588857650756836,0.0036414926888912735,True
baseline,saddle_node,stationary,2,Latent Neural SDE (VI),54.0,1.8038699626922607,0.010105189570455739,True
baseline,saddle_node,stationary,2,Latent Neural SDE (VI),70.0,-0.38582420349121094,0.0139857311747867,True
baseline,saddle_node,stationary,2,Latent Neural SDE (VI),78.0,0.7045702934265137,0.005240473102972737,True
baseline,saddle_node,stationary,2,Moment OU,38.0,,,False
baseline,saddle_node,stationary,2,Moment OU,54.0,,,False
baseline,saddle_node,stationary,2,Moment OU,70.0,,,False
baseline,saddle_node,stationary,2,Moment OU,78.0,,,False
baseline,saddle_node,stationary,2,Neural SDE (Euler),38.0,-0.5440225601196289,0.004209500900387686,True
baseline,saddle_node,stationary,2,Neural SDE (Euler),54.0,1.8284156322479248,0.010583825627055718,True
baseline,saddle_node,stationary,2,Neural SDE (Euler),70.0,-0.1703634262084961,0.0145846262561206,True
baseline,saddle_node,stationary,2,Neural SDE (Euler),78.0,1.043288230895996,0.006484890028511381,True
baseline,saddle_node,stationary,2,SINDy-STLSQ,38.0,-2.311358219858156,-0.004621117576699807,True
baseline,saddle_node,stationary,2,SINDy-STLSQ,54.0,1.6386248732438238,0.00547107624343561,True
baseline,saddle_node,stationary,2,SINDy-STLSQ,70.0,-1.32778316864015,0.0067113683465125085,True
baseline,saddle_node,stationary,2,SINDy-STLSQ,78.0,-0.5638342499157241,-0.0014254936351757591,True
baseline,saddle_node,stationary,3,Bayesian SINDy (spike-slab),38.0,1.2880731929820564,-0.006583265344438066,True
baseline,saddle_node,stationary,3,Bayesian SINDy (spike-slab),54.0,1.8994116150631677,-0.0011519795204814887,True
baseline,saddle_node,stationary,3,Bayesian SINDy (spike-slab),70.0,0.8097156187333061,-0.014303799870477349,True
baseline,saddle_node,stationary,3,Bayesian SINDy (spike-slab),78.0,2.597626190465029,-0.008074562079229283,True
baseline,saddle_node,stationary,3,Kalman OU,38.0,-0.6087435403310693,0.024646997260509514,True
baseline,saddle_node,stationary,3,Kalman OU,54.0,-2.1947093155018282,0.07334648087099671,True
baseline,saddle_node,stationary,3,Kalman OU,70.0,-0.590190814102793,0.01756635422063562,True
baseline,saddle_node,stationary,3,Kalman OU,78.0,0.3362086346635246,0.018351071719022838,True
baseline,saddle_node,stationary,3,Latent Neural SDE (VI),38.0,0.6046981811523438,-0.005397999012426782,True
baseline,saddle_node,stationary,3,Latent Neural SDE (VI),54.0,2.0778446197509766,-0.0023346538843209835,True
baseline,saddle_node,stationary,3,Latent Neural SDE (VI),70.0,0.48455810546875,-0.009870446164963867,True
baseline,saddle_node,stationary,3,Latent Neural SDE (VI),78.0,1.6891310214996338,-0.006575257689684311,True
baseline,saddle_node,stationary,3,Moment OU,38.0,20.61780794116396,-0.12911090493473643,True
baseline,saddle_node,stationary,3,Moment OU,54.0,20.900590631326654,-0.12128575022150226,True
baseline,saddle_node,stationary,3,Moment OU,70.0,20.77561442693882,-0.14205825767386357,True
baseline,saddle_node,stationary,3,Moment OU,78.0,,,False
baseline,saddle_node,stationary,3,Neural SDE (Euler),38.0,0.6181483268737793,-0.004679521716468668,True
baseline,saddle_node,stationary,3,Neural SDE (Euler),54.0,2.0791895389556885,-0.001694289532059426,True
baseline,saddle_node,stationary,3,Neural SDE (Euler),70.0,0.3478837013244629,-0.009470671239728848,True
baseline,saddle_node,stationary,3,Neural SDE (Euler),78.0,1.6200966835021973,-0.004726806572293296,True
baseline,saddle_node,stationary,3,SINDy-STLSQ,38.0,-0.23525930594065958,-0.006145578398041446,True
baseline,saddle_node,stationary,3,SINDy-STLSQ,54.0,1.4125861314195118,-0.0008695010085956328,True
baseline,saddle_node,stationary,3,SINDy-STLSQ,70.0,-0.456264797274204,-0.013261789318381817,True
baseline,saddle_node,stationary,3,SINDy-STLSQ,78.0,1.1723538192535665,-0.008194578411485742,True
baseline,saddle_node,stationary,4,Bayesian SINDy (spike-slab),38.0,0.4917175303234296,-0.0007043196627995185,True
baseline,saddle_node,stationary,4,Bayesian SINDy (spike-slab),54.0,0.5421354407624106,0.009951759845568606,True
baseline,saddle_node,stationary,4,Bayesian SINDy (spike-slab),70.0,-0.5602163531505586,0.014722829981385382,True
baseline,saddle_node,stationary,4,Bayesian SINDy (spike-slab),78.0,0.15240273452263509,0.018336743738021744,True
baseline,saddle_node,stationary,4,Kalman OU,38.0,2.314235589659585,-0.027768823693150667,True
baseline,saddle_node,stationary,4,Kalman OU,54.0,0.5168565413398443,0.012270939719221538,True
baseline,saddle_node,stationary,4,Kalman OU,70.0,1.3665058808640858,-0.020436921676226648,True
baseline,saddle_node,stationary,4,Kalman OU,78.0,2.1758760447779597,-0.02383905031674178,True
baseline,saddle_node,stationary,4,Latent Neural SDE (VI),38.0,-0.5173401832580566,0.002042672139343213,True
baseline,saddle_node,stationary,4,Latent Neural SDE (VI),54.0,0.9117088317871094,0.011734478878156984,True
baseline,saddle_node,stationary,4,Latent Neural SDE (VI),70.0,0.586327314376831,0.021296996552330485,True
baseline,saddle_node,stationary,4,Latent Neural SDE (VI),78.0,-0.003383636474609375,0.021512968677803238,True
baseline,saddle_node,stationary,4,Moment OU,38.0,,,False
baseline,saddle_node,stationary,4,Moment OU,54.0,,,False
baseline,saddle_node,stationary,4,Moment OU,70.0,,,False
baseline,saddle_node,stationary,4,Moment OU,78.0,,,False
baseline,saddle_node,stationary,4,Neural SDE (Euler),38.0,-0.4669194221496582,0.0027202702621087205,True
baseline,saddle_node,stationary,4,Neural SDE (Euler),54.0,1.062809944152832,0.013549198391121592,True
baseline,saddle_node,stationary,4,Neural SDE (Euler),70.0,0.6288061141967773,0.022285109981164022,True
baseline,saddle_node,stationary,4,Neural SDE (Euler),78.0,0.029487133026123047,0.023483654326510298,True
baseline,saddle_node,stationary,4,SINDy-STLSQ,38.0,-0.3765232608933733,-0.0004917624929837994,True
baseline,saddle_node,stationary,4,SINDy-STLSQ,54.0,-0.27426669659707903,0.009650853316000144,True
baseline,saddle_node,stationary,4,SINDy-STLSQ,70.0,-0.4906912382801276,0.014655071349897464,True
baseline,saddle_node,stationary,4,SINDy-STLSQ,78.0,0.5685693836635206,0.01764445579097966,True
baseline,saddle_node,stationary,5,Bayesian SINDy (spike-slab),38.0,1.8177401708096466,-0.0054758693878795145,True
baseline,saddle_node,stationary,5,Bayesian SINDy (spike-slab),54.0,1.9331529439271402,-0.011333209015429183,True
baseline,saddle_node,stationary,5,Bayesian SINDy (spike-slab),70.0,0.06814521844402588,-0.011267393411020274,True
baseline,saddle_node,stationary,5,Bayesian SINDy (spike-slab),78.0,0.5042987683039799,-0.014497163942463392,True
baseline,saddle_node,stationary,5,Kalman OU,38.0,0.2608813905055005,0.007482332867312064,True
baseline,saddle_node,stationary,5,Kalman OU,54.0,0.2471446149789746,0.005867270526472044,True
baseline,saddle_node,stationary,5,Kalman OU,70.0,0.20177368119692513,-0.005043483010688639,True
baseline,saddle_node,stationary,5,Kalman OU,78.0,-0.3339595303503611,0.004911826792608973,True
baseline,saddle_node,stationary,5,Latent Neural SDE (VI),38.0,0.6137571334838867,-0.0035351289683543258,True
baseline,saddle_node,stationary,5,Latent Neural SDE (VI),54.0,2.527848482131958,-0.001693088743797519,True
baseline,saddle_node,stationary,5,Latent Neural SDE (VI),70.0,0.3081836700439453,-0.006980673079822711,True
baseline,saddle_node,stationary,5,Latent Neural SDE (VI),78.0,1.4488801956176758,-0.01207571144094513,True
baseline,saddle_node,stationary,5,Moment OU,38.0,9.57558520216168,-0.09105270654282284,True
baseline,saddle_node,stationary,5,Moment OU,54.0,,,False
baseline,saddle_node,stationary,5,Moment OU,70.0,4.589698343556821,-0.05819244265805252,True
baseline,saddle_node,stationary,5,Moment OU,78.0,,,False
baseline,saddle_node,stationary,5,Neural SDE (Euler),38.0,0.7399415969848633,-0.0028818955917574024,True
baseline,saddle_node,stationary,5,Neural SDE (Euler),54.0,2.7856314182281494,-0.0013552746988228503,True
baseline,saddle_node,stationary,5,Neural SDE (Euler),70.0,0.5753211975097656,-0.006367645185029941,True
baseline,saddle_node,stationary,5,Neural SDE (Euler),78.0,1.762728214263916,-0.012364871260285501,True
baseline,saddle_node,stationary,5,SINDy-STLSQ,38.0,1.0397703075380806,-0.00657434695639611,True
baseline,saddle_node,stationary,5,SINDy-STLSQ,54.0,1.7436370983325067,-0.011769497368121995,True
baseline,saddle_node,stationary,5,SINDy-STLSQ,70.0,0.13133728606336614,-0.011711769842782674,True
baseline,saddle_node,stationary,5,SINDy-STLSQ,78.0,1.9315544260625264,-0.015381219975602184,True
baseline,saddle_node,stationary,6,Bayesian SINDy (spike-slab),38.0,0.05529009077754132,0.0019441279305916076,True
baseline,saddle_node,stationary,6,Bayesian SINDy (spike-slab),54.0,-0.15132511893607514,0.014620220877964163,True
baseline,saddle_node,stationary,6,Bayesian SINDy (spike-slab),70.0,-0.8965237622543323,-0.007632275093033408,True
baseline,saddle_node,stationary,6,Bayesian SINDy (spike-slab),78.0,0.09686331221860289,-0.006534996319819103,True
baseline,saddle_node,stationary,6,Kalman OU,38.0,-0.7113295270519878,0.014690118838341704,True
baseline,saddle_node,stationary,6,Kalman OU,54.0,0.3849071368520519,-0.0106800902218132,True
