condition,system,scenario,repetition,method,window_end,kappa_decline,sigma_growth,converged
baseline,bistable,noise_growth,22,Kalman OU,70.0,-0.9014360096802628,0.03840500678031991,True
baseline,bistable,noise_growth,22,Kalman OU,78.0,-0.8777372997958143,0.056792895276801814,True
baseline,bistable,noise_growth,22,Latent Neural SDE (VI),38.0,0.8591296672821045,0.002364436687629201,True
baseline,bistable,noise_growth,22,Latent Neural SDE (VI),54.0,0.013533830642700195,0.003427214369591175,True
baseline,bistable,noise_growth,22,Latent Neural SDE (VI),70.0,0.35615992546081543,0.012133775363677407,True
baseline,bistable,noise_growth,22,Latent Neural SDE (VI),78.0,1.4824997186660767,0.0136692554592268,True
baseline,bistable,noise_growth,22,Moment OU,38.0,,,False
baseline,bistable,noise_growth,22,Moment OU,54.0,,,False
baseline,bistable,noise_growth,22,Moment OU,70.0,,,False
baseline,bistable,noise_growth,22,Moment OU,78.0,,,False
baseline,bistable,noise_growth,22,Neural SDE (Euler),38.0,0.8424606323242188,0.0018465809562699664,True
baseline,bistable,noise_growth,22,Neural SDE (Euler),54.0,-0.12902545928955078,0.0026996287648806405,True
baseline,bistable,noise_growth,22,Neural SDE (Euler),70.0,0.3814089298248291,0.010341988858989112,True
baseline,bistable,noise_growth,22,Neural SDE (Euler),78.0,1.2666504383087158,0.014966031063327057,True
baseline,bistable,noise_growth,22,SINDy-STLSQ,38.0,0.8056752497974573,0.0007360069378835599,True
baseline,bistable,noise_growth,22,SINDy-STLSQ,54.0,-0.9663939680325662,-0.00038634016223668133,True
baseline,bistable,noise_growth,22,SINDy-STLSQ,70.0,0.6456117142660278,0.016170112507238696,True
baseline,bistable,noise_growth,22,SINDy-STLSQ,78.0,1.6031939922483318,0.02182799891991373,True
baseline,bistable,noise_growth,23,Bayesian SINDy (spike-slab),38.0,0.29469900224445666,-0.004368969847578799,True
baseline,bistable,noise_growth,23,Bayesian SINDy (spike-slab),54.0,-0.7333336837265692,-0.010866112199458433,True
baseline,bistable,noise_growth,23,Bayesian SINDy (spike-slab),70.0,1.3096994765315622,0.004912983059159576,True
baseline,bistable,noise_growth,23,Bayesian SINDy (spike-slab),78.0,-0.5360714432743103,0.008387003227610365,True
baseline,bistable,noise_growth,23,Kalman OU,38.0,0.6433384708868511,-0.023248866101448988,True
baseline,bistable,noise_growth,23,Kalman OU,54.0,0.1266254459668934,-0.022783174259424575,True
baseline,bistable,noise_growth,23,Kalman OU,70.0,-0.1069873274066574,0.029917340205564948,True
baseline,bistable,noise_growth,23,Kalman OU,78.0,-0.4616393317626396,0.014463511844828629,True
baseline,bistable,noise_growth,23,Latent Neural SDE (VI),38.0,-0.19090533256530762,-0.011682061092940413,True
baseline,bistable,noise_growth,23,Latent Neural SDE (VI),54.0,-0.709338903427124,-0.016668769144766837,True
baseline,bistable,noise_growth,23,Latent Neural SDE (VI),70.0,1.4718101024627686,1.645180732280649e-05,True
baseline,bistable,noise_growth,23,Latent Neural SDE (VI),78.0,-0.4886951446533203,0.00024197361916114546,True
baseline,bistable,noise_growth,23,Moment OU,38.0,0.5323416145436648,-0.014375091424649003,True
baseline,bistable,noise_growth,23,Moment OU,54.0,-0.37733856855025527,-0.018333915074514144,True
baseline,bistable,noise_growth,23,Moment OU,70.0,0.9910529180051775,-0.015597239881423627,True
baseline,bistable,noise_growth,23,Moment OU,78.0,-1.3160568381545805,0.033841951662405306,True
baseline,bistable,noise_growth,23,Neural SDE (Euler),38.0,-0.34130001068115234,-0.01021248655107855,True
baseline,bistable,noise_growth,23,Neural SDE (Euler),54.0,-0.8087668418884277,-0.01673102826520087,True
baseline,bistable,noise_growth,23,Neural SDE (Euler),70.0,1.5153987407684326,0.0004372877973549544,True
baseline,bistable,noise_growth,23,Neural SDE (Euler),78.0,-0.42052698135375977,-0.00018299120551025505,True
baseline,bistable,noise_growth,23,SINDy-STLSQ,38.0,1.184256736996986,-0.0036457130780358504,True
baseline,bistable,noise_growth,23,SINDy-STLSQ,54.0,0.5505255623956051,-0.010190901727369056,True
baseline,bistable,noise_growth,23,SINDy-STLSQ,70.0,2.4375933279148314,0.004674338639844941,True
baseline,bistable,noise_growth,23,SINDy-STLSQ,78.0,0.06195020973815479,0.006833484535939849,True
baseline,bistable,noise_growth,24,Bayesian SINDy (spike-slab),38.0,-2.4682113155286274,-0.0006057078197017063,True
baseline,bistable,noise_growth,24,Bayesian SINDy (spike-slab),54.0,-1.1286490821919286,-0.0017766174720083988,True
baseline,bistable,noise_growth,24,Bayesian SINDy (spike-slab),70.0,1.404438048677218,0.010245377247739926,True
baseline,bistable,noise_growth,24,Bayesian SINDy (spike-slab),78.0,0.6330658081873146,0.01262278982739927,True
baseline,bistable,noise_growth,24,Kalman OU,38.0,0.1999047111084289,-0.03371286759528266,True
baseline,bistable,noise_growth,24,Kalman OU,54.0,-2.2215034333249877,0.030115342406216168,True
baseline,bistable,noise_growth,24,Kalman OU,70.0,0.4205817745213214,0.008015837772008406,True
baseline,bistable,noise_growth,24,Kalman OU,78.0,0.5515982582676792,-0.008232342728406707,True
baseline,bistable,noise_growth,24,Latent Neural SDE (VI),38.0,-3.431621789932251,0.00313923566593427,True
baseline,bistable,noise_growth,24,Latent Neural SDE (VI),54.0,-2.637711763381958,0.002052194202457544,True
baseline,bistable,noise_growth,24,Latent Neural SDE (VI),70.0,1.4444409608840942,0.00601172289068809,True
baseline,bistable,noise_growth,24,Latent Neural SDE (VI),78.0,0.8161900043487549,0.025649694744151477,True
baseline,bistable,noise_growth,24,Moment OU,38.0,-7.753905900871795,0.08635593497554234,True
baseline,bistable,noise_growth,24,Moment OU,54.0,-0.7549639222193085,0.020312543725559108,True
baseline,bistable,noise_growth,24,Moment OU,70.0,-0.02263206486654238,0.013891570579283008,True
baseline,bistable,noise_growth,24,Moment OU,78.0,-0.3035837620303317,0.03654833128678309,True
baseline,bistable,noise_growth,24,Neural SDE (Euler),38.0,-3.4009716510772705,0.0026218090671698835,True
baseline,bistable,noise_growth,24,Neural SDE (Euler),54.0,-2.4584991931915283,0.0019999009430670817,True
baseline,bistable,noise_growth,24,Neural SDE (Euler),70.0,1.4214541912078857,0.00889864221568755,True
baseline,bistable,noise_growth,24,Neural SDE (Euler),78.0,0.7413184642791748,0.027592236551485516,True
