horizon_weeks,model,Accuracy,Precision,Recall,F1,PR-AUC,n_test,test_positive
4,Decision Tree,0.7720588235294118,0.4222222222222222,0.7916666666666666,0.5507246376811594,0.4321350762527233,136,24
4,Random Forest,0.8014705882352942,0.36363636363636365,0.16666666666666666,0.22857142857142856,0.5294598879493473,136,24
4,Easy Ensemble,0.7647058823529411,0.4230769230769231,0.9166666666666666,0.5789473684210527,0.713369783884918,136,24
4,RUSBoost,0.8014705882352942,0.0,0.0,0.0,0.44671826306156953,136,24
4,Balanced Bagging,0.8235294117647058,0.5,0.875,0.6363636363636364,0.415417878405484,136,24
4,EWSNet,0.17647058823529413,0.17647058823529413,1.0,0.3,0.17777777777777778,136,24
5,Decision Tree,0.8235294117647058,0.5882352941176471,0.6666666666666666,0.625,0.46371700195229604,136,30
5,Random Forest,0.8161764705882353,0.6470588235294118,0.36666666666666664,0.46808510638297873,0.5946509392350305,136,30
5,Easy Ensemble,0.7720588235294118,0.4918032786885246,1.0,0.6593406593406593,0.747020321586563,136,30
5,RUSBoost,0.7720588235294118,0.48484848484848486,0.5333333333333333,0.5079365079365079,0.47837713768976287,136,30
5,Balanced Bagging,0.8235294117647058,0.5652173913043478,0.8666666666666667,0.6842105263157895,0.5352540691565753,136,30
5,EWSNet,0.22058823529411764,0.22058823529411764,1.0,0.3614457831325301,0.2222222222222222,136,30
